"Ｐｕｍｍｅｌ","ｖｏｎ　Ｊｏｓｅｆ　Ｐａｌｅｃｅｋ","本"
"モザイク・ラセン","萩尾望都 著","児童書"
"安養寺","安養寺／編","本"
"ＧＲＡＮＰＡ","Ｊｏｈｎ　Ｂｕｒｎｉｎｇｈａｍ","本"
"北原白秋","横尾文子 著","児童書"
"バスケットボール","桑田健秀 著・監修,谷上俊夫 漫画","児童書"
"つくし","甲斐信枝作","児童書"
"ユダヤ教","マルサ・モリスン, スティーヴン・F.ブラウン 著,秦剛平 訳","児童書"
"ＴｈｅＡｒｔｏｆＬｉｓｂｅｔｈＺｗｅｒｇｅｒ","Ｌｉｓｂｅｔｈ Ｚｗｅｒｇｅｒ／図,Ｓｕｓａｎｎｅ Ｋｏｐｐｅ／文","本"
"九州文学","高尾　稔／編","本"
"雪乃すくらんぶる","井原　裕士／著者","児童書"
"真鶴","真鶴町教育委員会 編","本"
"キャノンアニュアル","キャノン販売株式会社キャノンクラブ／編","本"
"電撃アドベンチャーズ","メディアワークス [編]","児童書"
